rank,country,city,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
1,Switzerland,Zurich,112.5,68.1,93.2,113.9,110.4,167.3
2,Switzerland,Geneva,111.4,63.7,90.6,113.8,113.4,171.0
3,Switzerland,Basel,110.7,49.1,83.9,116.2,108.4,194.8
4,Switzerland,Lausanne,110.5,48.3,83.4,110.7,111.3,180.4
5,Switzerland,Lugano,108.4,41.2,79.1,111.0,111.4,159.7
6,Switzerland,Bern,103.4,43.2,77.2,106.0,91.1,186.8
7,Iceland,Reykjavik,96.2,50.5,76.3,102.1,106.5,113.1
8,Norway,Oslo,84.3,38.3,64.3,86.1,88.6,124.7
9,United Kingdom,London,83.2,71.0,77.9,65.8,82.3,99.7
10,Norway,Trondheim,83.0,30.6,60.2,81.6,85.1,144.0
11,Norway,Bergen,81.4,28.1,58.1,83.8,85.9,121.7
12,Denmark,Copenhagen,81.3,47.0,66.4,72.9,93.5,142.2
13,Norway,Stavanger,79.0,34.8,59.8,79.3,88.1,138.0
14,Netherlands,Amsterdam,75.9,56.8,67.6,65.6,79.7,132.9
15,France,Paris,74.6,44.4,61.4,76.1,66.8,116.8
16,Luxembourg,Luxembourg,74.2,52.4,64.7,73.0,79.9,157.3
17,Denmark,Aarhus,73.2,31.4,55.0,65.0,88.2,149.7
18,United Kingdom,Cambridge,73.1,47.1,61.8,68.1,77.9,135.9
19,Netherlands,Haarlem,72.6,38.7,57.8,64.9,84.0,116.0
20,Denmark,Odense,72.6,25.4,52.0,72.9,90.3,124.4
21,Germany,Munich,72.3,44.3,60.1,61.0,72.6,127.5
22,Ireland,Dublin,72.2,57.7,65.9,67.6,78.4,117.9
23,Sweden,Stockholm,72.1,35.3,56.1,67.0,72.4,122.8
24,Netherlands,Nijmegen,71.3,32.5,54.4,62.5,80.8,113.9
25,Ireland,Cork,71.0,44.7,59.5,71.7,71.2,113.0
26,United Kingdom,Edinburgh,70.6,39.9,57.3,66.6,72.1,130.8
27,Germany,Frankfurt,70.3,37.1,55.8,64.6,70.9,159.8
28,France,Lyon,70.2,23.8,50.0,77.8,62.3,118.0
29,Belgium,Brussels,70.1,31.8,53.4,67.4,81.5,122.5
30,United Kingdom,Brighton,70.0,45.6,59.4,66.3,68.9,117.2
31,Netherlands,Rotterdam,69.9,41.1,57.4,63.3,74.6,129.1
32,Germany,Hamburg,69.9,32.1,53.4,62.7,71.3,137.9
33,Netherlands,Utrecht,69.0,42.2,57.3,64.7,71.3,135.1
34,Finland,Helsinki,68.8,28.5,51.2,66.5,72.8,134.4
35,Germany,Darmstadt,68.6,27.4,50.7,64.9,67.6,137.2
36,Germany,Heidelberg,68.5,31.8,52.5,64.7,62.8,150.3
37,United Kingdom,Bristol,68.2,42.5,57.1,64.9,72.5,122.2
38,Italy,Milan,68.2,39.7,55.8,68.6,68.5,83.8
39,Belgium,Antwerp,68.2,23.4,48.7,66.5,81.1,122.2
40,Austria,Vienna,68.1,29.8,51.4,68.4,65.6,130.7
41,France,Strasbourg,67.8,20.3,47.1,80.0,59.5,116.4
42,Germany,Wiesbaden,67.7,26.0,49.6,62.7,70.4,127.9
43,Netherlands,The Hague (Den Haag),67.7,42.4,56.7,63.3,69.1,159.4
44,Germany,Dusseldorf,67.7,31.7,52.0,62.4,65.8,136.7
45,United Kingdom,Manchester,67.4,37.5,54.4,64.9,70.7,115.1
46,Germany,Cologne,67.1,28.2,50.2,64.3,61.6,122.0
47,Germany,Stuttgart,67.0,31.0,51.3,63.9,65.4,137.8
48,Germany,Augsburg,66.9,24.7,48.5,64.0,63.8,136.8
49,United Kingdom,Glasgow,66.7,34.5,52.7,61.8,69.4,126.3
50,Netherlands,Maastricht,66.6,31.4,51.3,62.8,64.3,139.8
51,Germany,Bonn,66.4,26.1,48.8,65.5,60.8,133.1
52,Netherlands,Eindhoven,66.3,34.4,52.4,62.2,72.1,153.9
53,Germany,Berlin,66.0,34.8,52.4,60.4,63.9,134.1
54,Germany,Essen,66.0,19.3,45.7,63.3,60.2,159.0
55,Netherlands,Leiden,66.0,35.4,52.7,63.2,68.2,167.2
56,Germany,Freiburg im Breisgau,65.8,27.7,49.2,64.3,60.3,149.0
57,Italy,Bologna,65.6,26.7,48.6,70.1,64.1,85.9
58,Germany,Mainz,65.5,23.3,47.2,61.8,59.8,146.5
59,Austria,Graz,65.4,19.4,45.3,64.7,62.4,132.0
60,United Kingdom,Newcastle upon Tyne,65.3,27.2,48.7,60.0,67.6,155.3
